player_id,player_name,Latest_Year,off_poss,def_poss,possessions,box_oVPM_TS,box_oVPM_TOV,box_oVPM_SC,box_dVPM_TS,box_dVPM_TOV,box_dVPM_SC,box_off,box_def,box_net,source_box_off_gap,source_box_def_gap,source_box_net_gap
1630559,Austin Reaves,2026,20867,20851,41718,2.9327553147995324,0.2349177764600966,-0.5942968778447253,-0.1484963959367738,0.0503081050323828,-0.280714820739766,2.5733762134149036,-0.378903111644157,2.194473101770747,0.0,0.0,0.0
1630567,Scottie Barnes,2026,24609,24627,49236,-0.1432539853493634,0.0821634117504044,0.51638811412674,0.9433851650942827,0.2842845599883206,0.5081616788522821,0.45529754052778104,1.7358314039348857,2.1911289444626667,5.551115123125783e-17,0.0,0.0
1629630,Ja Morant,2026,13120,13082,26202,1.9017688224196285,0.5469502232081093,0.0335924925612546,-0.1380963978013629,0.1609415508518891,-0.3379244460809728,2.482311538188992,-0.31507929303044657,2.1672322451585457,0.0,-1.6653345369377348e-16,0.0
1630590,Scotty Pippen Jr.,2026,5147,5179,10326,0.35736802234543547,-0.3235823990997065,0.2536869184222861,0.16084326134525612,1.825756337492068,-0.153045606577946,0.28747254166801506,1.8335539922593782,2.1210265339273935,5.551115123125783e-17,-2.220446049250313e-16,0.0
1627750,Jamal Murray,2026,18332,18267,36599,2.904153091671233,1.0721370560601815,-0.4840914757524698,-0.6727705841265601,-0.2383764132804723,-0.4787938131317485,3.4921986719789446,-1.389940810538781,2.1022578614401635,0.0,2.220446049250313e-16,0.0
201950,Jrue Holiday,2026,20861,20810,41671,1.3996113813851028,0.3085637969784004,0.0653646342867788,0.5003750278893985,-0.0984715731528463,-0.1131819756035748,1.7735398126502822,0.2887214791329774,2.0622612917832597,0.0,0.0,0.0
1628384,OG Anunoby,2026,21490,21444,42934,0.28714438297572087,-0.0802649273758595,0.1299162903913513,0.814367555012393,0.647051379319722,0.2462685836092155,0.33679574599121265,1.7076875179413304,2.044483263932543,5.551115123125783e-17,0.0,0.0
203935,Marcus Smart,2026,14871,14879,29750,0.2755042377502601,-0.1594497323011311,-0.4614491794742254,0.6230040543774573,1.3514163790300076,0.3936659889971886,-0.3453946740250964,2.3680864224046534,2.022691748379557,-1.6653345369377348e-16,0.0,0.0
201144,Mike Conley,2026,17931,17870,35801,0.9500027619886984,0.7475455313312362,-0.0851899932985302,0.0692835698928285,0.55233376687114,-0.2385802056415489,1.6123583000214043,0.38303713112241955,1.995395431143824,0.0,1.6653345369377348e-16,0.0
1641717,Cason Wallace,2026,11499,11590,23089,-0.8279496597660527,0.5524883205786532,0.0405757815341437,0.9089653431731269,1.2931792059431744,0.0229486246784727,-0.23488555765325586,2.2250931737947743,1.9902076161415185,1.3877787807814457e-16,4.440892098500626e-16,4.440892098500626e-16
1630162,Anthony Edwards,2026,26589,26568,53157,2.3539582671761616,0.3287576528087315,-0.5097365806078323,-0.0773476563051545,0.1387630386809936,-0.2530246531799773,2.172979339377061,-0.1916092708041382,1.9813700685729227,0.0,-1.1102230246251565e-16,0.0
