player_id,player_name,off,def,net_rapm,oRIM_FREQ,dRIM_FREQ,oRIM_FG,dRIM_FG,oMID_FG,dMID_FG,oTHREE_FREQ,dTHREE_FREQ,oTHREE_FG,dTHREE_FG,oFT,dFT,oTOV_VALUE,dTOV_VALUE,oSC,dSC,vanilla_off,vanilla_def,vanilla_net,delta_net,possessions
1642403,Isaac Jones,-2.444,0.273,-2.717,0.117,-0.001,-0.165,0.161,-0.417,-0.102,-0.321,-0.003,-0.4,-0.124,-0.387,0.114,-1.204,-0.503,0.333,0.185,-1.868,0.711,-2.579,-0.138,1409
1630224,Jalen Green,-0.747,1.978,-2.725,0.702,-0.655,-0.657,-0.87,-0.318,0.074,0.154,0.064,0.262,-0.032,-0.265,0.555,0.099,-0.648,-0.724,-0.466,-0.46,1.48,-1.94,-0.785,46156
1642967,John Poulakidas,-0.861,1.866,-2.727,-0.376,-0.176,-0.979,-0.9,-0.23,0.118,0.36,-0.01,-0.124,-0.026,0.139,-0.79,0.417,-0.228,-0.068,0.146,-0.584,0.438,-1.022,-1.705,1096
1642359,Pacome Dadiet,-1.968,0.76,-2.728,-0.614,0.115,-0.013,-0.726,-0.573,0.048,0.156,-0.044,-0.305,0.053,-0.612,0.087,0.011,-0.377,-0.018,0.084,-2.268,-0.065,-2.203,-0.525,1201
1642419,Jamison Battle,-1.698,1.06,-2.758,0.022,-0.137,-0.481,0.175,0.176,0.063,0.07,0.07,0.3,0.01,-0.689,-0.531,-0.178,-0.65,-0.918,-0.06,-1.192,0.404,-1.596,-1.162,6765
1641723,Kobe Bufkin,-2.273,0.487,-2.76,-0.161,-0.67,-0.592,-0.024,-0.374,0.103,0.036,0.081,-0.517,-0.108,-0.213,0.337,0.419,-0.204,-0.871,-0.002,-2.905,0.603,-3.508,0.748,1849
1630177,Theo Maledon,-2.005,0.759,-2.764,0.197,-0.301,-0.903,0.013,-0.323,-0.129,0.047,-0.03,-0.345,-0.096,0.035,-0.258,-0.442,-0.162,-0.271,0.204,-2.17,0.791,-2.961,0.197,15552
1642951,Sean Pedulla,-1.82,0.946,-2.766,-0.025,-0.142,-0.682,-0.469,-0.521,0.005,0.193,0.024,-0.028,-0.055,-0.534,-0.108,0.248,-0.094,-0.471,-0.107,-1.021,0.343,-1.364,-1.402,125
1629676,Isaiah Roby,-2.318,0.449,-2.767,0.341,-0.189,-0.408,-0.352,-0.503,-0.067,0.016,-0.055,-0.253,-0.034,-0.448,0.104,-0.566,-0.075,-0.497,0.219,-2.372,0.396,-2.768,0.001,11831
1630245,Ayo Dosunmu,-1.728,1.043,-2.771,0.542,-0.177,-0.236,0.228,-0.574,0.163,-0.17,0.14,0.011,-0.055,0.112,-0.448,-0.414,-0.214,-0.999,-0.68,-1.719,0.816,-2.535,-0.236,41325
1629629,Cam Reddish,-1.706,1.093,-2.799,0.159,-0.455,-0.642,-0.569,-0.38,-0.121,0.029,-0.008,-0.416,-0.09,0.635,-0.085,-0.043,0.188,-1.048,0.047,-2.11,0.925,-3.035,0.236,18148
1626196,Josh Richardson,-1.863,0.942,-2.805,-0.518,-0.056,-0.085,-0.562,-0.341,0.048,0.044,-0.056,-0.199,-0.009,0.272,-0.245,-0.403,0.211,-0.633,-0.273,-1.86,0.454,-2.314,-0.491,25350
1642939,Miles Kelly,-2.996,-0.173,-2.823,-0.61,-0.202,-1.341,0.627,-0.259,-0.106,0.28,0.036,0.064,0.024,-0.516,0.287,-0.585,-0.169,-0.029,-0.324,-1.386,0.064,-1.45,-1.373,583
203463,Ben McLemore,-1.843,0.983,-2.826,-0.343,-0.158,-0.357,-0.484,-0.717,0.073,0.157,-0.048,-0.223,-0.029,-0.149,-0.459,-0.127,0.152,-0.084,-0.03,-1.652,0.359,-2.011,-0.815,9242
