player_id,player_name,Latest_Year,oALT_TS,oALT_EFG,oALT_FT,oALT_TOV,oALT_TOV_bp,oALT_TOV_sc,oSC,dALT_TS,dALT_EFG,dALT_FT,dALT_TOV,dALT_TOV_bp,dALT_TOV_sc,dSC,oFC,dFC,off,def,net_rapm,RESID,possessions,off_poss,def_poss
977,Kobe Bryant,2002,1.6,1.15,0.45,0.81,0.53,0.29,1.5,0.29,0.43,-0.14,-0.21,0.17,-0.38,-0.48,2.41,0.08,3.91,-0.4,3.51,-0.0,40239,20180,20059
1112,Ben Wallace,2002,-1.43,-0.51,-0.92,0.13,-0.05,0.17,1.1,2.25,1.5,0.75,0.73,0.35,0.38,0.67,-1.3,2.98,-0.2,3.65,3.44,-0.01,31182,15572,15610
764,David Robinson,2002,0.32,0.1,0.22,-0.21,-0.44,0.23,-0.23,2.52,1.64,0.88,0.36,0.15,0.21,0.4,0.11,2.88,-0.12,3.28,3.15,-0.01,28603,14346,14257
1889,Andre Miller,2002,2.73,1.95,0.78,0.52,0.62,-0.1,-0.09,0.53,0.37,0.16,-0.29,0.14,-0.43,-0.27,3.25,0.24,3.16,-0.03,3.13,-0.0,29898,14946,14952
2032,Darius Miles,2002,1.8,1.68,0.12,-0.34,-0.21,-0.13,0.32,1.83,1.8,0.03,-0.08,-0.08,-0.01,-0.41,1.46,1.75,1.78,1.34,3.12,0.0,16169,8071,8098
369,Charlie Ward,2002,0.99,1.06,-0.07,0.18,-0.3,0.47,0.06,1.23,1.26,-0.03,0.61,0.07,0.54,-0.02,1.17,1.84,1.23,1.82,3.05,0.0,18350,9191,9159
2045,Hedo Turkoglu,2002,1.98,1.5,0.48,0.06,0.09,-0.04,0.0,1.05,1.3,-0.25,-0.16,-0.01,-0.15,0.11,2.04,0.89,2.04,1.0,3.04,0.0,14623,7318,7305
467,Jason Kidd,2002,0.14,-0.46,0.6,0.39,-0.29,0.68,0.88,1.01,1.18,-0.17,0.73,0.35,0.39,-0.13,0.53,1.74,1.41,1.61,3.02,0.0,37953,19064,18889
935,Bryon Russell,2002,1.81,1.01,0.8,0.35,-0.04,0.39,0.42,-0.51,0.18,-0.69,0.56,-0.07,0.63,0.35,2.16,0.05,2.58,0.4,2.99,0.01,29420,14712,14708
966,Jerome Williams,2002,-0.22,-0.67,0.45,-0.48,-0.31,-0.17,1.96,0.37,0.24,0.13,0.78,0.2,0.58,0.56,-0.7,1.15,1.26,1.71,2.97,0.0,18679,9317,9362
1884,Baron Davis,2002,0.9,0.41,0.49,0.08,-0.02,0.09,1.13,0.82,1.43,-0.61,0.74,0.55,0.2,-0.8,0.98,1.56,2.11,0.76,2.87,0.0,32228,16024,16204
461,Popeye Jones,2002,0.02,-0.2,0.22,0.48,0.28,0.2,1.73,0.33,0.11,0.22,0.02,-0.43,0.45,0.3,0.5,0.35,2.23,0.65,2.87,-0.01,10666,5316,5350
1740,Rashard Lewis,2002,2.59,2.33,0.26,0.14,0.57,-0.43,0.53,-0.69,-0.78,0.09,0.23,0.3,-0.07,0.04,2.73,-0.46,3.26,-0.42,2.85,0.01,26789,13433,13356
947,Allen Iverson,2002,1.27,0.15,1.12,1.33,0.6,0.73,-0.18,-0.88,-0.95,0.07,0.95,0.22,0.73,0.24,2.6,0.07,2.42,0.31,2.73,-0.0,36867,18491,18376
89,Nick Van Exel,2002,1.48,1.06,0.42,1.81,0.95,0.87,0.72,-0.01,0.16,-0.17,-1.0,-0.61,-0.39,-0.34,3.29,-1.01,4.01,-1.35,2.66,0.0,31614,15775,15839
389,Toni Kukoc,2002,3.51,3.09,0.42,-0.21,-0.25,0.03,-0.02,-0.3,-0.5,0.2,0.46,0.19,0.26,-0.8,3.3,0.16,3.28,-0.64,2.64,0.0,19062,9591,9471
1883,Steve Francis,2002,1.46,0.74,0.72,-0.02,0.21,-0.23,1.66,0.0,-0.05,0.05,-0.42,0.04,-0.47,-0.08,1.44,-0.42,3.1,-0.5,2.6,0.0,31077,15501,15576
2059,Eduardo Najera,2002,1.09,0.88,0.21,0.34,-0.45,0.78,1.54,-0.64,-0.18,-0.46,0.4,0.39,0.01,-0.17,1.43,-0.24,2.97,-0.41,2.56,0.0,7428,3711,3717
1513,Scot Pollard,2002,-1.98,-1.4,-0.58,-0.11,-0.05,-0.06,2.06,1.74,1.23,0.51,0.26,-0.08,0.35,0.59,-2.09,2.0,-0.03,2.59,2.56,0.0,20074,10046,10028
