player_id,player_name,possessions,off_poss,def_poss,oTS,dTS,net_ts,oSQ,oFT,oCONTEST,dSQ,dFT,dCONTEST,oRESID,dRESID
1642276,Kel'el Ware,13392,6597,6795,-0.48,-0.84,0.36,-0.04,-0.43,-0.06,-0.43,-0.55,0.12,0.05,0.02
1642938,Jones,375,183,192,-0.07,-0.4,0.33,-0.08,-0.04,-0.06,0.13,0.04,-0.58,0.11,0.01
1630549,Day'Ron Sharpe,11896,6053,5843,-1.1,-1.42,0.32,-0.47,-0.15,-0.46,-0.62,0.21,-0.94,-0.02,-0.07
1629675,Naz Reid,28103,14110,13993,-0.06,-0.38,0.32,-0.4,-0.32,0.49,-0.28,0.58,-0.84,0.17,0.16
1642845,VJ Edgecombe,10872,5489,5383,-0.03,-0.34,0.3,0.17,0.02,-0.24,0.19,0.01,-0.38,0.02,-0.16
1630171,Isaac Okoro,20526,10101,10425,0.59,0.3,0.29,-0.29,-0.41,1.35,-0.53,0.26,0.7,-0.06,-0.13
1628978,Donte DiVincenzo,29727,14927,14800,0.62,0.36,0.27,0.51,-0.14,0.14,0.19,0.14,0.04,0.11,-0.01
1627763,Malcolm Brogdon,6848,3410,3438,0.04,-0.21,0.26,-0.62,0.36,0.31,-0.07,-0.14,0.07,-0.01,-0.07
203995,Vasilije Micic,7715,3796,3919,-0.45,-0.71,0.26,-0.37,-0.14,0.08,0.44,0.04,-1.21,-0.02,0.02
1629001,De'Anthony Melton,9430,4807,4623,1.29,1.03,0.26,-0.36,0.36,1.44,-0.03,0.14,0.76,-0.15,0.16
1630167,Obi Toppin,18559,9234,9325,1.92,1.67,0.25,1.08,0.0,0.67,0.23,0.45,1.0,0.17,-0.01
1630567,Scottie Barnes,28420,14331,14089,-0.9,-1.14,0.24,-0.17,-0.1,-0.68,-0.46,-0.11,-0.63,0.05,0.06
1642024,Alex Reese,909,454,455,0.6,0.37,0.23,-0.12,-0.11,0.84,-0.18,0.03,0.56,-0.01,-0.04
1629750,Javonte Green,12107,6113,5994,0.18,-0.02,0.2,-0.72,0.06,0.73,0.2,0.14,-0.51,0.11,0.15
1641739,Toumani Camara,28846,14571,14275,-0.48,-0.67,0.19,-0.02,-0.19,-0.38,-0.02,0.07,-0.72,0.11,-0.0
201144,Mike Conley,22632,11338,11294,0.29,0.11,0.19,0.6,0.34,-0.5,0.12,-0.26,0.22,-0.15,0.03
1628381,John Collins,20311,10023,10288,0.1,-0.07,0.18,0.08,0.6,-0.42,0.46,-0.06,-0.44,-0.16,-0.03
1630534,Ochai Agbaji,17848,8818,9030,-1.54,-1.72,0.18,-0.36,-0.19,-0.99,0.15,0.02,-1.81,0.0,-0.08
1630846,Olivier Sarr,550,266,284,0.36,0.18,0.18,-0.03,-0.09,0.39,-0.03,0.04,0.08,0.09,0.09
1629026,Kenrich Williams,12784,6438,6346,0.48,0.32,0.17,-0.02,-0.4,1.09,-0.36,-0.31,0.98,-0.19,0.01
1629162,Jordan McLaughlin,4863,2451,2412,1.02,0.86,0.16,-0.38,-0.2,1.62,-0.17,-0.02,1.18,-0.02,-0.13
1630551,Justin Champagnie,12452,6097,6355,-0.01,-0.17,0.16,-0.27,-0.31,0.47,0.42,0.26,-0.77,0.1,-0.08
1641750,Ryan Kalkbrenner,6125,3044,3081,-1.56,-1.72,0.15,0.98,0.15,-3.05,-0.4,-0.21,-1.31,0.36,0.2
1630561,David Duke Jr.,352,176,176,0.21,0.06,0.15,-0.09,-0.09,0.4,0.08,0.11,-0.17,-0.01,0.04
1631170,Jaime Jaquez Jr.,23589,11753,11836,-0.11,-0.26,0.15,-0.52,0.3,0.11,-0.15,-0.15,-0.01,0.0,0.05
1642434,Riley Minix,271,134,137,0.42,0.29,0.14,-0.03,-0.07,0.49,0.12,0.12,-0.08,0.03,0.13
1642853,Rasheer Fleming,2657,1358,1299,-0.58,-0.7,0.13,0.01,-0.36,-0.26,0.18,-0.0,-1.04,0.03,0.16
1626174,Christian Wood,3531,1716,1815,-0.28,-0.39,0.12,-0.1,0.08,-0.23,-0.25,0.13,-0.23,-0.03,-0.04
1642959,Chris Youngblood,727,348,379,-0.39,-0.51,0.12,-0.01,-0.23,-0.14,-0.13,-0.12,-0.28,-0.01,0.02
1642273,Kyshawn George,13286,6504,6782,-0.77,-0.88,0.11,-0.55,-0.12,-0.09,0.23,0.29,-1.18,-0.01,-0.22
1641747,DaRon Holmes II,816,386,430,0.09,-0.02,0.11,0.43,-0.26,-0.18,0.07,0.08,-0.29,0.1,0.12
1642345,Oso Ighodaro,11370,5749,5621,-0.48,-0.59,0.1,-0.47,-0.64,0.63,-0.05,0.68,-1.23,-0.0,0.01
1642366,Quinten Post,7987,3993,3994,-0.93,-1.01,0.09,-0.01,-0.41,-0.53,0.07,-0.13,-0.96,0.02,0.01
1627777,Georges Niang,14888,7401,7487,1.42,1.34,0.08,0.15,-0.22,1.62,-0.12,0.11,1.46,-0.13,-0.11
1642920,Kobe Sanders,5599,2750,2849,-0.26,-0.3,0.04,0.09,0.63,-0.84,-0.18,0.34,-0.42,-0.14,-0.04
1628449,Chris Boucher,6811,3445,3366,-0.22,-0.24,0.02,0.11,-0.08,-0.24,0.48,0.39,-1.07,-0.01,-0.04
1631220,Dereon Seabron,228,107,121,-0.12,-0.11,-0.0,-0.08,-0.03,-0.01,0.08,0.04,-0.28,0.0,0.05
1642866,Joan Beringer,1207,593,614,0.54,0.55,-0.02,-0.03,-0.13,0.81,0.21,0.02,0.25,-0.11,0.07
